issue_type,soil_type,rainfall,wind_speed,temperature,humidity,elevation,proximity_to_water,population_density,time_since_last_rain,priority_label
water_logging,black_cotton,45.2,12.3,28.5,85,523.1,150,4500,2,0.88
pipe_breakage,alluvial,0,8.7,32.1,65,512.3,1200,3800,120,0.66
contamination,black_cotton,5.0,6.1,30.0,70,505.0,300,6200,60,0.92
water_leakage,red,0,9.0,33.5,55,540.2,2000,2200,200,0.48
low_pressure,alluvial,0,7.5,34.0,50,515.0,2500,1800,300,0.30
water_logging,black_cotton,60.5,14.0,26.0,90,498.0,120,5200,1,0.95
pipe_breakage,black_cotton,10.0,10.2,29.0,75,520.0,400,4800,48,0.74
contamination,red,0,8.0,31.0,60,535.0,900,3000,150,0.80
water_leakage,alluvial,2.0,9.5,30.5,68,510.0,1500,2600,90,0.52
low_pressure,red,0,6.5,35.0,45,545.0,3000,1500,360,0.25
water_logging,alluvial,38.0,11.0,27.5,82,502.0,250,3900,3,0.78
pipe_breakage,red,0,9.8,32.5,58,538.0,1800,2100,180,0.60
contamination,black_cotton,20.0,7.0,28.0,78,500.0,200,7000,24,0.96
water_leakage,black_cotton,0,8.4,31.5,62,518.0,600,4300,140,0.58
low_pressure,alluvial,0,7.0,33.0,52,514.0,2200,2000,280,0.32
water_logging,black_cotton,52.0,13.5,25.5,88,495.0,100,6000,1,0.93
pipe_breakage,alluvial,3.0,8.9,30.0,70,511.0,1000,3500,72,0.68
contamination,alluvial,0,7.8,31.0,64,516.0,1300,2900,160,0.79
water_leakage,red,0,9.2,32.0,57,542.0,1900,2300,190,0.50
low_pressure,black_cotton,0,6.8,34.5,48,507.0,700,4100,320,0.40
